2025-09-23 21:07:24,198 - INFO - EVENT: CHARACTER_UPDATE | USER: 1316070855 | DETAILS: {'name': 'FiLiN Core', 'post_id': 91}
2025-09-23 21:07:24,492 - INFO - EVENT: CHARACTER_UPDATE | USER: 91594850 | DETAILS: {'name': 'Raven Madyar', 'post_id': 92}
2025-09-23 21:07:24,770 - INFO - EVENT: CHARACTER_UPDATE | USER: 90483242 | DETAILS: {'name': 'Vran Ruthen', 'post_id': 93}
2025-09-23 21:11:12,756 - INFO - EVENT: CHARACTER_UPDATE | USER: 90020513 | DETAILS: {'name': 'Mr FiLiN', 'post_id': 56}
2025-09-23 21:11:13,065 - INFO - EVENT: CHARACTER_UPDATE | USER: 90045731 | DETAILS: {'name': 'Dr FiLiN', 'post_id': 85}
2025-09-23 21:11:13,400 - INFO - EVENT: CHARACTER_UPDATE | USER: 90522765 | DETAILS: {'name': 'Orev Khazar', 'post_id': 86}
2025-09-23 21:11:13,805 - INFO - EVENT: CHARACTER_UPDATE | USER: 90162477 | DETAILS: {'name': 'Sir FiLiN', 'post_id': 87}
2025-09-23 21:11:14,103 - INFO - EVENT: CHARACTER_UPDATE | USER: 95937458 | DETAILS: {'name': 'Filin Khan', 'post_id': 88}
2025-09-23 21:11:14,449 - INFO - EVENT: CHARACTER_UPDATE | USER: 95985116 | DETAILS: {'name': 'Corvin Khan', 'post_id': 89}
2025-09-23 21:11:14,866 - INFO - EVENT: CHARACTER_UPDATE | USER: 1316070855 | DETAILS: {'name': 'FiLiN Core', 'post_id': 91}
2025-09-23 21:11:15,162 - INFO - EVENT: CHARACTER_UPDATE | USER: 91594850 | DETAILS: {'name': 'Raven Madyar', 'post_id': 92}
2025-09-23 21:11:15,493 - INFO - EVENT: CHARACTER_UPDATE | USER: 90483242 | DETAILS: {'name': 'Vran Ruthen', 'post_id': 93}
